,index,PY,UT_id,authors,citation_objects,content,date,dtype,duplicated,first_author,fulltext,id,journal_id,rated,relevant,scopus,source,tilength,title,uploaded,uploader_id,url,wos,ymentions
10,11,2016,WOS:000385529400099,,False,"Many smart grid projects make use of dynamic pricing schemes aimed to motivate consumers to shift and/or decrease energy use. Based upon existing literature and analyses of current smart grid projects, this survey paper presents key lessons on how to encourage households to adjust energy end use by means of dynamic tariffs. The paper identifies four key hypotheses related to fostering demand response through dynamic tariff schemes and examines whether these hypotheses can be accepted or rejected based on a review of published findings from a range of European pilot projects. We conclude that dynamic pricing schemes have the power to adjust energy consumption behavior within households. In order to work effectively, the dynamic tariff should be simple to understand for the end users, with timely notifications of price changes, a considerable effect on their energy bill and, if the tariff is more complex, the burden for the consumer could be eased by introducing automated control. Although sometimes the mere introduction of a dynamic tariff has proven to be effective, often the success of the pricing scheme depends also on other factors influencing the behavior of end users. An important condition to make dynamic tariffs work is that the end users should be engaged with them.",,,False,,,56506,227865.0,2018-06-07 12:48:58.522070+00:00,0,False,,,Fostering Residential Demand Response through Dynamic Pricing Schemes: A Behavioural Review of Smart Grid Pilots in Europe,False,,,True,
11,12,2012,WOS:000306200100005,"Kua, HW, Wong, SE",False,"In preparation for a community energy conservation program in the southwest district of Singapore, a pilot intervention study was conducted between August and November 2008 to study the effectiveness of tailored information and feedback in promoting household conservation. A sample of 125 households was involved in the study, of which 63 were the control group. Both self-reported behavioral changes and actual energy reductions were measured and any Hawthorne effect was identified. It was found that self-reported behavioral changes were strongly correlated to the level of trust in the energy conservation information given, the need for ease in practicing the recommended conservation measures and feeling of satisfaction in executing the measures; these results differ from several past studies on energy interventions. 60.7% of those who reported behavioral changes actually reduced energy consumption. Reasons were found and discussed. Lessons from this intervention study can be applied to design integrated policies aimed at promoting energy conservation in households. (C) 2012 Elsevier Ltd. All rights reserved.",,,False,"Kua, HW",,59523,162897.0,2018-06-22 07:57:45.614628+00:00,1,True,,101.0,Lessons for integrated household energy conservation policies from an intervention study in Singapore,False,,,True,
12,13,1997,WOS:A1997WN03200003,"Brady, PV, Gislason, SR",False,"Alteration of surficial marine basalts at low temperatures (<40 degrees C) is a potentially important sink for atmospheric CO2 over geologic time. Petrologic analyses, thermodynamic calculations, and experimental weathering results point to extensive Ca leaching and consumption of marine CO2 during alteration Basalt weathering in seawater-like solutions is sensitive to temperature. The activation energy for initial basalt weathering in seawater is 41-65 Kj mol(-1). If seafloor weathering temperatures are set by deep ocean fluids under high fluid to rock ratios the feedback between weathering and atmospheric CO2 is indirect, but sizeable. If the bulk of seafloor weathering occurs in the presence of low-temperature hydrothermal fluids, the weathering feedback depends on the linkage between spreading rates and heat flow. In either case, the primary linkage between seafloor weathering and the global carbon cycle appears to be thermal as opposed to chemical. Copyright (C) 1997 Elsevier Science Ltd.",,,False,"Brady, PV",,59669,170178.0,2018-06-20 14:57:14.759307+00:00,0,True,,66.0,Seafloor weathering controls on atmospheric CO2 and global climate,False,,,True,
13,14,2016,WOS:000387300300003,"Shen, M, Shen, M, Young, R, Cui, QB",False,"In the field of energy conservation programs, the behavior-based method, especially the normative feedback approach, has emerged as a cost-effective solution for energy savings. However it remains doubtful whether normative feedback would generate significant energy savings in absence of financial accountability and whether the normative feedback is influenced by the proximity of the comparison groups. Here we test various normative feedback approaches at the Joint Base Andrews in Maryland, with an objective of understanding this approach. We show that the normative feedback approach can lead to 3.4% energy savings, even when residents are not billed for their electricity usage. Through an analysis of covariance, this paper evaluates the effects of different proximities of comparison and concludes that a street-level comparison level can generate the highest energy savings of 5.4%. Furthermore, this paper also explores and defines the relationship between electricity savings and physical variables including home size, unit type, neighborhood, and the variation of cooling degree days. The study contributes to the understanding of how to realizing the full potential of normative feedback approach in energy savings. (C) 2016 Elsevier Ltd. All rights reserved.",,,False,"Shen, M",,76018,162897.0,2018-06-11 14:54:02.955633+00:00,0,False,,90.0,The normative feedback approach for energy conservation behavior in the military community,False,,,True,
14,15,2016,2-s2.0-84986316081,"Cheung, K.-W., Yau, Y.-H., Ho, K.-C.",False,"Advanced metering infrastructure (AMI) was a architecture with real-time two-way communications that used digital technology to monitor and manage the delivery of electricity from generation sources to meet the varying electricity demands of end users. The goal of an AMI was to provide utility companies with real-time data about power consumption and allow customers to make informed choices about energy usage based on the price at the time of use. Since the rollout of AMI was a heavy investment, a cost benefit analysis and an impact assessment should be carried out. This paper attempted to quantify the energy saving and reduction in carbon emission benefits inherent in the AMI potential. The quantitative estimation of potential saving in electricity consumption and associated reduction in carbon emission presented were based on a survey of published results, actual field measurements of local demographics in urban and rural environmental conditions, fuel mix, and possible incentive pricing based on time of use. A mathematical model was formulated to apply sensitivity analysis against the coverage of AMI in different demographics, and respective penetrations of AMI. A case study illustrated the real world application of the energy saving estimation model to Hong Kong environment. For more than 70% population participated in AMI, the emission reduction target of 19%~33% planned by Hong Kong Government could be achieved. The methodology presented in this paper could serve as a reference model in implementing AMI in other cities. © 2016, Editorial Board of China Environmental Science. All right reserved.",,,False,"Cheung, K.-W.",,76560,,2018-08-24 16:09:23.405498+00:00,0,True,,119.0,Assessment of efficiency in energy management and carbon emission reduction induced by advanced metering infrastructure,False,,,False,
15,17,2015,WOS:000358046700008,"Scheele, CE",False,"An increasing number of Danish local governments use green web applications, which are websites intended to convince users to reduce energy consumption in order to mitigate climate change. However, to date, no empirical evidence has been published that demonstrates whether green web applications have this intended effect. This paper, based on a survey of 329 Danish small and medium enterprises (SMEs), examines the perceived effects of a green web application named klimabevidst.dk (which can be translated as climateawareness.dk) and explores the motivation of SMEs to use the application. As 29-56 % of SMEs declare that the application has had a medium or large energy reduction effect on their businesses, the paper concludes that klimebevidst.dk can be a relevant component in local government climate change mitigation campaigns aimed at small- and medium-sized enterprises (SMEs). This paper also shows that the perceived effects of using the web application correlate strongly with the extent to which the web application is used (i.e. with the number of the application's energy reduction guides read). Moreover, the perceived effect is larger in smaller SMEs, in SMEs that prioritise climate change and the health of their employees, and in SMEs that do not prioritise economic benefits. The present study is, however, unable to quantify the reduction; further study is needed to produce a more refined picture of the role played by the web application in increasing energy efficiency.",,,False,"Scheele, CE",,89969,162849.0,2018-06-11 14:54:12.852126+00:00,0,True,,74.0,Green web applications as a climate change mitigation campaign instruments,False,,,True,
16,18,2012,WOS:000310405800023,"Bull, J",False,"The EU energy efficiency labelling scheme has successfully increased demand for efficient appliances by providing a prominent letter rating to consumers during their product search. Behavioural economics (BE) suggests the adoption of efficient appliances could be accelerated further by: (i) monetising efficiency, (ii) directly communicating the link between efficiency and carbon emissions, (iii) communicating the long-term (e.g., operational life) financial and environmental impact of product choices, and, (iv) framing the information as avoided losses ('extra') rather than gains ('savings'). This study tested these hypotheses via an online, stated preference survey of 465 UK residents using actual market pricing and efficiency data for washing machines. The provision of information about either running costs or running emissions did encourage selection of more expensive and efficient products (strongly correlated variables in the choice set and actual market) (p<.001, r=.30-.41) with no statistically significant difference between their impact. Providing lifetime running cost information also nudged respondents towards more expensive, efficient products than annual information (p=.006-.027, r=.15-.18). Finally, loss-framed running emissions information encouraged selection of more expensive, efficient products than gain-framed information (p<.05, r=.13-.16). The EU label is an impracticable means of communication, but digital communication channels (e.g., price comparison websites) may offer potential for inexpensive localisation and personalisation of the information. The results suggest that successful communication could benefit the private sector whilst making a contribution to reducing carbon emissions. (C) 2012 Elsevier Ltd. All rights reserved.",,,False,"Bull, J",,93910,162897.0,2018-07-06 14:35:59.745122+00:00,0,True,,118.0,Loads of green washing-can behavioural economics increase willingness-to-pay for efficient washing machines in the UK?,False,,,True,
17,19,2010,WOS:000282240100076,"Hargreaves, T, Nye, M, Burgess, J",False,"This paper explores how UK householders interacted with feedback on their domestic energy consumption in a field trial of real-time displays or smart energy monitors. After examining relevant bodies of literature on the effects of energy feedback on consumption behaviour, and on the complex role of energy and appliances within household moral economies, the paper draws on qualitative evidence from interviews with 15 UK householders trialling smart energy monitors of differing levels of sophistication. It focuses specifically on householder motivations for acquiring the monitors, how the monitors have been used, how feedback has changed consumption behaviour, and the limitations to further behavioural change the householders experienced. The paper concludes by identifying significant implications for future research and policy in this area. (C) 2010 Elsevier Ltd. All rights reserved.",,,False,"Hargreaves, T",,99249,162897.0,2018-07-09 09:39:29.358081+00:00,1,False,,118.0,Making energy visible: A qualitative field study of how householders interact with feedback from smart energy monitors,False,,,True,
18,20,2012,WOS:000302669300002,"Jain, RK, Taylor, JE, Peschiera, G",True,"In response to growing concerns over climate change and rising energy costs, a number of eco-feedback systems are being tested by researchers. Yet, the interface design aspect of these systems has largely been ignored. Therefore, the role that interface design plays at the component level in driving actual energy savings from users is unclear. In this paper, we evaluate the impact interface design has on eco-feedback performance by investigating five established design components. We conducted a six week empirical study with 43 participants using a prototype eco-feeclback interface. Analysis of usage data affirmed a statistically significant inverse correlation between user engagement (measured as logins) and energy consumption. Utilizing this relationship as a basis for performance, we expanded our analysis to evaluate the five design components. The study revealed statistically significant evidence corroborating that historical comparison and incentives are design components that drive higher engagement and thus reductions in energy consumption. Results for the normative comparison and disaggregation components were inconclusive, while results for the rewards and penalization component suggest that a revision to the penalization aspect of the component may be necessary. This study raises pertinent questions regarding the efficacy of various eco-feedback components in eliciting energy savings. (C) 2011 Elsevier B.V. All rights reserved.",,,False,"Jain, RK",,99728,162808.0,2018-06-07 12:51:33.223367+00:00,1,True,,89.0,Assessing eco-feedback interface usage and design to drive energy efficiency in buildings,False,,,True,
19,22,2011,2-s2.0-84863145024,"Li, T.",False,"Industrial gases are widely used in many areas including the chemical, refining, metallurgy, environmental, and semiconductor industries. The industrial gases used in large quantities typically include oxygen, nitrogen, argon, hydrogen, and carbon monoxide (CO). The air gases - oxygen, nitrogen and argon - are usually produced through cryogenic distillation, when a large amount of them are needed in high purity. In a cryogenic air separation unit (ASU), air is first liquefied at a very low temperature and then separated into different components through distillation. This is a very energy intensive process. For example, the Air Liquide Group runs about 400 ASUs worldwide, and its electricity consumption in 2010 was more than one thousandth of the total world electricity consumption. Steam methane reforming (SMR) is one important process to produce hydrogen and CO. In this process, natural gas is reacted with steam in a heated furnace at the presence of catalysts to produce syngas, which is a mixture of hydrogen, CO, methane, and other gases. This mixture is then further processed to produce pure hydrogen, CO, or certain mixtures. These products are often transported to customers through a pipeline, which connects multiple SMR plants and customers. SMR processes also consume a lot of energy, mainly in term of natural gas. Around half of Air Liquide's annual energy bill is for the purchase of natural gas. It can be seen that improving the efficiency of these industrial gas plants and pipelines is important in improving an industrial gas company's profit and competitiveness while reducing its energy consumption and carbon footprint. Real time optimization (RTO) is an important technique to achieve such a goal. A real time optimizer takes market dynamics such as changes in energy price and client demands into account in real time, and calculates the most profitable mode of operating the plants by using the plant models with energy consumption equations and process constraint equations. Then the calculated optimal set points are downloaded to the plant control system to ramp the plant or sent to operators as references. In this work, two RTO applications in industrial gas production are studied: one ASU plant and one SMR pipeline. The important aspects of the applications are addressed including the general IT structure and functions of its different software components, important steps in completing such projects, and major challenges and corresponding solutions in mathematical optimization.",,,False,"Li, T.",,103001,,2018-06-07 12:51:53.323581+00:00,0,True,,60.0,Real time optimization of industrial gas plants and networks,False,,,False,
20,23,2015,WOS:000364776900001,"Schwartz, T, Stevens, G, Jakobi, T, Denef, S, Ramirez, L, Wulf, V, Randall, D",True,"One of the great societal challenges that we face today concerns the move to more sustainable patterns of energy consumption, reflecting the need to balance both individual consumer choice and societal demands. In order for this 'energy turnaround' to take place, however, reducing residential energy consumption must go beyond using energy-efficient devices: More sustainable behaviour and lifestyles are essential parts of future 'energy aware' living. Addressing this issue from an HCI perspective, this paper presents the results of a 3-year research project dealing with the co-design and appropriation of a Home Energy Management System (HEMS) that has been rolled out in a living lab setting with seven households for a period of 18 months. Our HEMS is inspired by feedback systems in Sustainable Interaction Design and allows the monitoring of energy consumption in real-time. In contrast to existing research mainly focusing on how technology can persuade people to consume less energy ('what technology does to people'), our study focuses on the appropriation of energy feedback systems ('what people do with technology') and how newly developed practices can become a resource for future technology design. Therefore, we deliberately followed an open research design. In keeping with this approach, our study uncovers various responses, practices and obstacles of HEMS use. We show that HEMS use is characterized by a number of different features. Recognizing the distinctive patterns of technology use in the different households and the evolutionary character of that use within the households, we conclude with a discussion of these patterns in relation to existing research and their meaning for the design of future HEMSs.",,,False,"Schwartz, T",,104180,179344.0,2018-06-22 07:59:07.022312+00:00,1,False,,,What People Do with Consumption Feedback: A Long-Term Living Lab Study of a Home Energy Management System,False,,,True,
21,24,2016,WOS:000381529300043,"Pisello, AL, Castaldo, VL, Piselli, C, Fabiani, C, Cotana, F",False,"Occupants' behavior can significantly affect building performance, in particular in massive institutional buildings occupied by a wide variety of users. This work aims at highlighting the importance of peers' personal attitudes in determining building thermal-energy, lighting performance, and openings' schedule. A university building located in central Italy was selected. Different rooms with equivalent end-use, geometry, exposure, construction characteristics, occupancy, and appliances were considered. Occupants could be considered as peers, since they carry out the same job and schedule and have the same education and age. Nevertheless, they presented different attitudes and thermal perception, therefore producing different energy need. In order to assess peers' behavior, office rooms were continuously monitored in terms of indoor visual-thermal comfort parameters, electricity consumption, and door/window opening rate in spring, summer, and winter conditions. Occupants' attitudes were compared by considering also the outdoor climate conditions. Results demonstrated that occupants' individual behavior represented a key variable affecting building management of large buildings even if the occupants can be theoretically assumed to be ""peers"". Significant discrepancies were found between the monitored rooms, demonstrating that typical peers do not behave the same at all, but require differential energy needs that should be considered while predicting thermal-energy and lighting behavior of massive institutional buildings. (C) 2016 Elsevier B.V. All rights reserved.",,,False,"Pisello, AL",,106457,162808.0,2018-06-11 15:05:32.320914+00:00,0,False,,,How peers' personal attitudes affect indoor microclimate and energy need in an institutional building: Results from a continuous monitoring campaign in summer and winter conditions,False,,,True,
22,25,2016,WOS:000373748400007,"Patteeuw, D, Henze, GP, Helsen, L",False,"This paper aims at assessing the value of load shifting and demand side flexibility for improving electric grid system operations. In particular, this study investigates to what extent residential heat pumps participating in load shifting can contribute to reducing operational costs and CO2 emissions associated with electric power generation and how home owners with heat pump systems can be best motivated to achieve these flexibility benefits. Residential heat pumps, when intelligently orchestrated in their operation, can lower operational costs and CO2 emissions by performing load shifting in order to reduce curtailment of electricity from renewable energy sources and improve the efficiency of dispatchable power plants. In order to study the interaction, both the electricity generation system and residences with heat pumps are modeled. In a first step, an integrated modeling approach is presented which represents the idealized case where the electrical grid operation in terms of unit commitment and dispatch is concurrently optimized with that of a large number of residential heat pumps located in homes designed to low-energy design standards. While this joint optimization approach does not lend itself for real-time implementation, it serves as an upper bound for the achievable operational cost savings. The main focus of this paper is to assess to what extent load shifting incentives are able to achieve the aforementioned savings potential. Two types of incentives are studied: direct load control and dynamic time-of-use pricing. Since both the electricity generation supply system and the residential building stock with heat pumps had been modeled for the joint optimization, the performance of both load shifting incentives can be compared by separately assessing the supply and demand side. Superior performance is noted for the direct-load control scenario, achieving 60-90% of the cost savings attained in the jointly optimized best-case scenario. In dynamic time-of-use pricing, poor performance in terms of reduced cost and emissions is noted when the heat pumps response is not taken into account. When the heat pumps response is taken into account, dynamic time-of-use pricing performs better. However, both dynamic time-of-use pricing schemes show inferior performance at high levels of residential heat pump penetration. (C) 2016 Elsevier Ltd. All rights reserved.",,,False,"Patteeuw, D",,106813,142756.0,2018-06-07 12:53:46.389339+00:00,0,True,,115.0,Comparison of load shifting incentives for low-energy buildings with heat pumps to attain grid flexibility benefits,False,,,True,
